account	studentcode	gender	yearofbirth	grade	type
A23248	26075717	男	1992	2011	本科
A23250	65161492	男	1989	2012	硕士
A23281	44039675	男	1992	2011	本科
A23286	61173411	男	1990	2012	硕士
A23288	75129835	男	1986	2012	硕士
A23296	84122012	男	1985	2012	博士
A23326	98063489	女	1996	2014	本科
A23377	84033466	男	1992	2010	本科
A23380	55167374	男	1988	2011	硕士
A23381	34122899	女	1993	2012	硕士
A23422	53067535	男	1991	2010	本科
A23455	75069912	女	1992	2010	本科
A23526	94063933	男	1993	2011	本科
A23529	47161026	男	1991	2012	硕士
A23581	85183092	男	1991	2014	硕士
A23596	93056174	男	1992	2010	本科
A23626	33081864	男	1991	2010	本科
A23644	42068998	女	1994	2012	本科
A23672	28138901	女	1978	2011	博士
A23678	25049951	男	1996	2014	本科
A23715	52177132	男	1989	2014	博士
A23732	63078049	男	1993	2011	本科
A23735	49149128	男	1987	2012	博士
A23742	83162575	男	1994	2014	硕士
A23785	61065998	男	1993	2012	本科
A23855	93160308	男	1989	2011	博士
A23888	36160996	男	1990	2012	硕士
A23925	43065342	男	1994	2011	本科
A23963	91172616	女	1988	2011	博士
A23968	33058290	男	1996	2013	本科
A24005	52109670	女	1992	2013	硕士
A24038	16120132	女	1990	2012	硕士
A24084	55171586	女	1988	2012	硕士
A24091	18126532	女	1989	2014	硕士
A24117	71060359	男	1995	2014	本科
A24185	23140948	女	1991	2014	硕士
A24226	18172151	男	1989	2012	硕士
A24229	98102248	女	1995	2013	本科
A24241	45054332	男	1991	2010	本科
A24251	26115958	女	1990	2014	硕士
A24305	59013807	男	1982	2005	博士
A24334	18114929	男	1988	2012	硕士
A24448	37115465	女	1990	2012	硕士
A24451	46114583	男	1991	2013	硕士
A24491	71169352	女	1990	2013	硕士
A24556	51134297	男	1990	2012	硕士
A24596	86131439	女	1989	2014	硕士
A24606	83008252	女	1993	2011	本科
A24645	97064677	男	1992	2011	本科
A24674	78118628	男	1985	2007	硕士
A24741	53105131	女	1992	2011	本科
A24745	79102884	男	1994	2013	本科
A24780	61049506	男	1995	2013	本科
A24809	33100949	男	1992	2010	本科
A24824	73110151	女	1991	2014	硕士
A24825	96050360	男	1997	2014	本科
A24836	53119999	女	1991	2012	硕士
A24837	18016104	男	1995	2012	本科
A24839	54170872	男	1990	2013	硕士
A24888	67012569	男	1996	2014	本科
A24889	31071291	男	1996	2014	本科
A24903	35079224	男	1994	2013	本科
A24995	78148626	女	1990	2013	硕士
A25022	16054696	男	1992	2011	本科
A25027	84085938	男	1994	2012	本科
A25053	37049962	男	1994	2013	本科
A25072	88181845	男	1980	2011	博士
A25106	66007222	女	1986	2008	博士
A25115	16001912	男	1991	2010	本科
A25136	99075180	女	1995	2013	本科
A25161	72161089	男	1991	2012	硕士
A25165	65183428	女	1989	2014	硕士
A25233	14179971	女	1989	2013	硕士
A25248	89104172	男	1993	2012	本科
A25250	15173713	女	1990	2014	博士
A25309	96063614	男	1995	2013	本科
A25441	42160984	男	1989	2012	硕士
A25473	96170891	男	1989	2012	硕士
A25490	41167566	男	1990	2012	硕士
A25555	35052510	男	1993	2011	本科
A25561	16119043	男	1990	2014	博士
A25573	28164740	男	1986	2013	博士
A25594	87133485	男	1991	2014	硕士
A25620	92104974	男	1980	2008	博士
A25651	88178990	女	1990	2013	博士
A25668	71130517	女	1983	2010	博士
A25679	86000705	女	1994	2012	本科
A25715	86134900	女	1981	2011	硕士
A25759	76059698	男	1991	2010	本科
A25776	36067500	男	1994	2012	本科
A25789	52129508	女	1988	2014	博士
A25790	13086043	男	1995	2014	本科
A25795	26032941	男	1991	2010	本科
A25817	88099973	女	1993	2011	本科
A25819	56183149	男	1990	2012	硕士
A25820	13077271	女	1993	2012	本科
A25827	14159541	女	1992	2014	硕士
A25864	69109622	男	1987	2012	博士
A25869	41056853	女	1996	2014	本科
A25905	45118835	女	1987	2013	博士
A25907	77173224	男	1991	2014	硕士
A25976	41121098	女	1986	2012	硕士
A25979	29061166	男	1993	2012	本科
A25991	77133546	男	1990	2012	硕士
A26063	95058159	男	1993	2011	本科
A26087	57116957	女	1990	2014	硕士
A26093	51158498	男	1986	2008	博士
A26132	22066881	男	1996	2014	本科
A26186	83064797	女	1995	2013	本科
A26205	49098605	男	1995	2014	本科
A26225	68147970	男	1984	2013	硕士
A26240	57067557	男	1993	2011	本科
A26244	31148706	男	1991	2013	硕士
A26247	87159363	男	1988	2012	博士
A26268	32137942	女	1988	2013	硕士
A26307	52080844	女	1992	2010	本科
A26310	82052147	女	1992	2011	本科
A26312	88066453	男	1994	2013	本科
A26333	39042757	男	1993	2011	本科
A26433	24064306	女	1994	2012	本科
A26450	41171652	女	1991	2012	硕士
A26460	58067461	男	1991	2010	本科
A26490	59027337	男	1978	2008	博士
A26499	98052068	男	1993	2011	本科
A26533	56132659	男	1988	2014	博士
A26593	81053278	男	1991	2009	本科
A26614	54052678	女	1996	2014	本科
A26625	52077286	男	1995	2013	本科
A26638	79060385	男	1993	2010	本科
A26704	83054729	女	1994	2013	本科
A26712	63179069	女	1989	2012	硕士
A26738	17130202	男	1989	2012	硕士
A26780	42042370	男	1992	2010	本科
A26783	87135702	女	1992	2014	硕士
A26807	82064012	男	1993	2012	本科
A26809	49051890	男	1995	2013	本科
A26818	22171136	男	1990	2012	硕士
A26854	97132736	女	1985	2012	硕士
A26866	12046494	男	1992	2010	本科
A26871	27051417	男	1992	2011	本科
A26872	89065681	男	1993	2011	本科
A26889	82049109	男	1992	2010	本科
A26890	43133558	男	1990	2012	硕士
A26893	34159364	男	1987	2014	博士
A26924	79177282	男	1985	2012	博士
A26945	33042317	男	1995	2014	本科
A26978	92143592	男	1989	2012	硕士
A26990	71034342	男	1992	2011	本科
A27017	54188364	男	1983	2013	硕士
A27022	56052364	女	1994	2013	本科
A27055	62077442	女	1995	2014	本科
A27067	58161056	男	1988	2012	硕士
A27069	86042127	男	1993	2012	本科
A27083	79163338	男	1989	2012	硕士
A27117	59159155	女	1991	2014	硕士
A27192	82132537	男	1990	2012	硕士
A27193	72115681	男	1987	2012	博士
A27231	38061138	男	1995	2013	本科
A27242	33173893	男	1985	2012	博士
A27280	31028251	男	1991	2010	本科
A27296	77053928	男	1992	2010	本科
A27305	32066920	男	1997	2014	本科
A27314	34038265	男	1994	2011	本科
A27317	44051742	男	1994	2012	本科
A27359	34158094	男	1990	2013	博士
A27445	63161014	女	1989	2012	硕士
A27457	72107222	女	1993	2010	本科
A27487	64161499	男	1990	2012	硕士
A27506	29179337	男	1990	2012	硕士
A27508	82123093	女	1987	2013	硕士
A27517	52065421	男	1994	2011	本科
A27544	23049889	女	1993	2011	本科
A27553	32171651	女	1989	2012	硕士
A27559	94194002	男	1985	2014	硕士
A27577	26022793	女	1994	2011	本科
A27648	69118884	男	1991	2014	硕士
A27672	29188295	男	1985	2013	硕士
A27675	67063377	男	1995	2014	本科
A27684	24158854	男	1993	2014	硕士
A27697	91060056	男	1994	2012	本科
A27703	83159940	女	1989	2014	博士
A27742	28066982	男	1997	2014	本科
A27764	25035520	女	1992	2010	本科
A27770	84140356	女	1990	2012	硕士
A27798	21149104	男	1989	2012	博士
A27803	37109112	男	1989	2012	博士
A27834	98062467	男	1995	2014	本科
A27840	22140448	女	1981	2013	硕士
A27841	55011662	男	1995	2013	本科
A27977	95144356	男	1985	2012	硕士
A27980	22143616	女	1988	2012	硕士
A27982	55194167	男	1980	2014	硕士
A28014	68029481	男	1994	2012	本科
A28065	69169781	女	1990	2013	硕士
A28084	63129175	女	1988	2012	硕士
A28107	32060205	男	1990	2008	本科
A28116	62125680	男	1990	2012	硕士
A28119	28183196	女	1987	2012	博士
A28158	54052358	女	1995	2013	本科
A28169	26183150	男	1989	2012	硕士
A28199	89115605	男	1991	2014	硕士
A28214	57160199	男	1987	2010	博士
A28219	28065616	女	1994	2012	本科
A28265	62119165	男	1980	2010	博士
A28269	88054086	女	1995	2013	本科
A28270	93066176	女	1996	2014	本科
A28320	33161584	女	1990	2012	硕士
A28328	26122422	男	1992	2014	硕士
A28342	93160735	女	1989	2012	硕士
A28353	28016557	女	1993	2011	本科
A28355	31166709	女	1993	2014	硕士
A28367	44000704	男	1993	2012	本科
A28372	61082706	女	1995	2013	本科
A28377	57169415	男	1989	2011	硕士
A28425	42133233	男	1990	2013	硕士
A28465	28052972	男	1995	2014	本科
A28466	73057809	女	1996	2014	本科
A28501	99035571	女	1994	2012	本科
A28505	64065038	男	1996	2013	本科
A28511	78136734	女	1987	2014	博士
A28514	91044810	男	1990	2010	本科
A28528	87007840	男	1995	2011	本科
A28556	62090254	女	1992	2010	本科
A28562	29140682	女	1989	2012	硕士
A28655	25174151	男	1988	2012	硕士
A28676	78065053	男	1993	2012	本科
A28678	14133021	男	1987	2014	博士
A28679	84069765	男	1997	2014	本科
A28689	44178644	女	1987	2010	硕士
A28745	87121688	男	1980	2010	博士
A28755	16057239	女	1995	2014	本科
A28762	62067936	女	1993	2013	本科
A28783	82158401	男	1987	2010	博士
A28785	49050163	男	1994	2012	本科
A28822	87043209	男	1992	2010	本科
A28846	73158013	男	1985	2011	硕士
A28852	57183048	男	1992	2014	硕士
A28857	37057610	男	1992	2011	本科
A28858	53129027	男	1989	2012	硕士
A28862	19131325	男	1989	2013	硕士
A28875	27042794	女	1995	2014	本科
A28946	45054899	女	1995	2014	本科
A29006	32180025	男	1987	2010	博士
A29007	71141186	女	1991	2012	硕士
A29008	96062241	男	1993	2012	本科
A29012	41111156	女	1988	2014	博士
A29074	36166010	男	1989	2012	硕士
A29116	25169747	女	1991	2014	硕士
A29139	73180100	女	1990	2014	硕士
A29154	35161535	男	1989	2012	硕士
A29155	77117401	女	1989	2012	硕士
A29192	53018642	男	1992	2010	本科
A29210	79106506	男	1995	2014	本科
A29217	25179953	女	1988	2012	硕士
A29237	41113339	女	1980	2012	博士
A29245	17159221	男	1991	2014	博士
A29321	48163694	男	1988	2012	本科
A29334	71066451	女	1992	2013	本科
A29340	97124001	男	1989	2012	博士
A29396	82123650	女	1984	2010	博士
A29399	64065257	男	1992	2011	本科
A29408	94166338	女	1989	2013	硕士
A29409	65056864	男	1996	2014	本科
A29425	52030309	男	1995	2013	本科
A29431	73065483	男	1991	2010	本科
A29450	82040687	男	1992	2010	本科
A29479	91157397	男	1991	2013	硕士
A29484	47104901	男	1996	2014	本科
A29515	27166724	男	1990	2014	硕士
A29520	51172169	男	1989	2012	硕士
A29523	88172105	女	1990	2014	硕士
A29599	69056394	男	1992	2010	本科
A29637	69002251	女	1992	2011	本科
A29640	63126530	女	1989	2013	硕士
A29723	35181370	女	1987	2012	硕士
A29744	63009304	男	1994	2012	本科
A29771	49173679	男	1983	2013	硕士
A29794	72131598	女	1985	2011	硕士
A29822	89124669	男	1989	2012	硕士
A29823	61002225	男	1995	2013	本科
A29839	76055702	男	1993	2012	本科
A29840	39050980	女	1994	2012	本科
A29844	75173213	男	1992	2014	硕士
A29855	24141047	女	1988	2014	博士
A29866	57095753	女	1994	2012	本科
A29872	71047429	女	1991	2011	本科
A29881	63067917	女	1993	2012	本科
A29893	91175907	女	1987	2012	博士
A29894	68171131	女	1988	2012	硕士
A29913	54076118	男	1996	2014	本科
A29924	98072577	男	1993	2011	本科
A29948	89178877	女	1992	2014	博士
A30012	37099246	女	1993	2011	本科
A30030	49104500	男	1993	2011	本科
A30050	61084337	男	1996	2014	本科
A30068	26180018	男	1986	2013	博士
A30090	44048283	男	1993	2011	本科
A30092	85140029	男	1990	2012	硕士
A30138	75130731	男	1991	2014	硕士
A30141	54122897	女	1983	2009	博士
A30156	19006437	男	1995	2014	本科
A30173	28173365	男	1989	2012	硕士
A30178	83069803	男	1993	2011	本科
A30193	62050314	男	1994	2013	本科
A30212	88168323	女	1991	2013	硕士
A30213	15042115	男	1995	2013	本科
A30248	87024646	女	1992	2010	本科
A30314	98109481	男	1991	2014	硕士
A30325	56127779	男	1989	2012	硕士
A30335	27176636	女	1989	2013	硕士
A30344	43176948	女	1989	2012	硕士
A30438	25126783	女	1991	2013	硕士
A30439	45064992	女	1994	2013	本科
A30491	17180716	男	1988	2011	硕士
A30493	63071016	男	1993	2011	本科
A30542	95161503	女	1989	2012	硕士
A30564	63158092	男	1989	2013	博士
A30567	24180090	女	1989	2014	硕士
A30572	89177840	女	1990	2012	硕士
A30590	36182407	女	1990	2013	硕士
A30608	22019538	男	1994	2012	本科
A30611	74128582	女	1990	2013	硕士
A30632	56161684	男	1990	2012	硕士
A30634	18140943	男	1987	2014	博士
A30654	38196042	男	1994	2014	本科
A30674	16002022	男	1994	2012	本科
A30677	56066000	男	1996	2014	本科
A30681	37066779	男	1994	2011	本科
A30693	55058024	男	1994	2012	本科
A30695	58070339	男	1994	2012	本科
A30721	11184127	女	1990	2014	硕士
A30722	33060926	女	1996	2014	本科
A30744	77009515	女	1993	2012	本科
A30757	55036652	男	1993	2012	本科
A30758	56128274	女	1991	2013	硕士
A30759	92063690	女	1995	2013	本科
A30761	92193730	男	1989	2014	硕士
A30767	86134308	男	1990	2012	硕士
A30789	68126444	女	1983	2010	博士
A30805	87105817	女	1992	2011	本科
A30833	15166049	男	1979	2012	博士
A30842	35161574	男	1988	2011	硕士
A30867	86022497	女	1994	2012	本科
A30870	93074237	女	1991	2014	硕士
A30880	15176762	女	1988	2011	硕士
A30884	44174090	男	1990	2014	博士
A30917	12130353	男	1990	2013	硕士
A30923	97111667	女	1990	2013	硕士
A30931	61066189	女	1994	2012	本科
A30955	31106879	男	1994	2013	本科
A31013	96135270	男	1990	2014	硕士
A31077	76110590	男	1992	2014	硕士
A31089	31172164	男	1990	2012	硕士
A31094	77129098	女	1991	2014	硕士
A31096	98169673	女	1987	2014	博士
A31109	57161602	男	1989	2012	硕士
A31132	62115175	男	1992	2013	硕士
A31162	22101578	男	1994	2012	本科
A31180	79115716	男	1989	2012	硕士
A31205	66095698	男	1992	2010	本科
A31243	49055230	男	1994	2012	本科
A31295	28015911	男	1982	2008	博士
A31324	73060801	女	1994	2013	本科
A31389	96058042	男	1992	2011	本科
A31390	43060535	女	1994	2012	本科
A31402	38148880	男	1990	2013	硕士
A31429	75057772	男	1992	2010	本科
A31436	39103336	男	1993	2011	本科
A31450	52130499	男	1984	2012	硕士
A31491	99025328	男	1994	2012	本科
A31526	53139897	男	1992	2014	硕士
A31542	85113900	男	1990	2013	硕士
A31602	54067820	女	1993	2011	本科
A31616	69179293	女	1989	2012	硕士
A31631	72183159	男	1990	2012	硕士
A31662	65063654	男	1996	2013	本科
A31663	47181905	男	1988	2011	硕士
A31690	56087879	男	1995	2013	本科
A31737	71188599	女	1986	2013	硕士
A31744	73105374	男	1994	2012	本科
A31760	64134508	女	1991	2013	硕士
A31777	48118970	女	1993	2014	硕士
A31797	36011308	男	1994	2011	本科
A31827	91002601	男	1986	2008	博士
A31859	49165324	男	1993	2014	硕士
A31889	83158262	男	1989	2011	硕士
A31908	51067382	男	1994	2014	本科
A31933	53061825	女	1995	2014	本科
A31937	74159299	男	1992	2014	博士
A31945	27080307	男	1994	2012	本科
A31946	37139793	男	1987	2013	博士
A31952	65122350	男	1990	2013	硕士
A32011	83065933	男	1995	2013	本科
A32013	78165327	男	1991	2014	硕士
A32022	63180186	女	1981	2009	博士
A32035	77059818	女	1994	2012	本科
A32045	62051669	男	1995	2013	本科
A32067	99048289	男	1993	2012	本科
A32106	67113226	男	1989	2012	硕士
A32119	33113901	女	1990	2013	硕士
A32121	91175866	男	1991	2014	硕士
A32151	86065517	男	1997	2014	本科
A32183	54158341	男	1990	2012	硕士
A32190	18109155	女	1989	2012	硕士
A32203	95135514	女	1989	2012	硕士
A32212	47122290	男	1987	2010	博士
A32217	55120067	男	1990	2012	硕士
A32229	14002018	女	1995	2014	本科
