fromaccount,toaccount,syscode,timestamp,amount
A76019,1000176,99,2014/10/2 11:25,1360
A74767,1000176,99,2014/10/2 11:32,2360
A47998,1000176,99,2014/10/2 12:52,1880
B75505,1000176,99,2014/10/2 12:53,580
D72032,1000176,99,2014/10/2 15:32,4080
C40788,1000176,99,2014/10/2 15:35,680
D71997,1000176,99,2014/10/2 15:44,1360
D61346,1000176,99,2014/10/2 11:34,1700
C34033,1000176,99,2014/10/2 12:07,3000
B66928,1000176,99,2014/10/2 12:42,1200
C65685,1000176,99,2014/10/2 18:31,1850
E75882,1000176,99,2014/10/2 18:10,2540
E68348,1000176,99,2014/10/2 11:44,2300
A63867,1000176,99,2014/10/2 19:56,1700
A78416,1000176,99,2014/10/2 20:37,3000
C69546,1000176,99,2014/10/2 10:42,600
A47998,1000176,99,2014/10/2 13:00,450
C76391,1000176,99,2014/10/2 16:00,1500
B61830,1000176,99,2014/10/2 14:12,2040
B61830,1000176,99,2014/10/2 14:13,880
B69795,1000176,99,2014/10/2 14:15,1360
A46179,1000176,99,2014/10/2 14:15,1360
C77082,1000176,99,2014/10/2 14:19,2300
E59862,1000176,99,2014/10/2 16:13,1380
E65526,1000176,99,2014/10/2 17:12,1000
A18649,1000176,99,2014/10/2 17:45,2000
E56119,1000176,99,2014/10/2 11:10,5100
A79265,1000176,99,2014/10/2 11:21,3180
B45018,1000176,99,2014/10/2 17:13,880
C76419,1000176,99,2014/10/2 18:02,680
B48439,1000176,99,2014/10/2 18:09,680
B75505,1000176,99,2014/10/2 18:08,1430
A51889,1000176,99,2014/10/2 18:27,1380
C65685,1000176,99,2014/10/2 18:48,1200
A35048,1000176,99,2014/10/2 19:39,1800
E30682,1000176,99,2014/10/2 21:25,200
B40799,1000176,99,2014/10/2 11:37,1360
C74513,1000176,99,2014/10/2 18:51,750
B50713,1000176,99,2014/10/3 9:25,1700
C66505,1000176,99,2014/10/3 9:26,980
C74191,1000176,99,2014/10/3 12:03,1700
D75798,1000176,99,2014/10/3 14:37,4800
A74376,1000176,99,2014/10/3 14:40,800
E65867,1000176,99,2014/10/3 16:48,5860
C18825,1000176,99,2014/10/3 13:52,300
A65365,1000176,99,2014/10/3 13:53,500
A64313,1000176,99,2014/10/3 15:32,1380
A47227,1000176,99,2014/10/3 15:36,1200
A69343,1000176,99,2014/10/3 15:41,680
E44076,1000176,99,2014/10/3 12:33,1600
B73524,1000176,99,2014/10/3 14:11,2000
E50972,1000176,99,2014/10/3 14:48,7240
E77921,1000176,99,2014/10/3 11:18,1530
A47227,1000176,99,2014/10/3 15:12,2700
C50772,1000176,99,2014/10/3 15:16,4800
D52258,1000176,99,2014/10/3 15:18,880
D61823,1000176,99,2014/10/3 12:40,1200
A77415,1000176,99,2014/10/3 13:14,1200
D71434,1000176,99,2014/10/3 14:25,2000
D13985,1000176,99,2014/10/3 14:33,4960
E59862,1000176,99,2014/10/3 16:11,1380
C33203,1000176,99,2014/10/3 16:13,2400
C37385,1000176,99,2014/10/3 16:20,2360
C37385,1000176,99,2014/10/3 16:21,650
C59528,1000176,99,2014/10/3 11:58,2000
D61050,1000176,99,2014/10/3 12:52,1280
C63312,1000176,99,2014/10/3 17:47,1180
D54749,1000176,99,2014/10/3 11:08,1500
C77829,1000176,99,2014/10/3 13:20,1280
A77415,1000176,99,2014/10/3 13:23,1180
C71800,1000176,99,2014/10/3 17:26,1260
E50544,1000176,99,2014/10/3 16:43,3000
A64313,1000176,99,2014/10/3 13:27,1150
D52052,1000176,99,2014/10/3 13:39,3580
C59339,1000176,99,2014/10/3 18:13,2000
C79400,1000176,99,2014/10/3 18:19,1360
E69266,1000176,99,2014/10/3 18:20,3580
A60123,1000176,99,2014/10/3 20:30,1600
E50972,1000176,99,2014/10/3 20:30,1600
B78265,1000176,99,2014/10/3 11:47,1200
E75039,1000176,99,2014/10/3 18:45,2200
C54417,1000176,99,2014/10/3 18:47,2080
D54846,1000176,99,2014/10/3 18:49,1180
C57095,1000176,99,2014/10/3 18:59,30
D60803,1000176,99,2014/10/3 9:56,1200
B71950,1000176,99,2014/10/3 19:28,680
D26931,1000176,99,2014/10/3 19:38,3480
C66992,1000176,99,2014/10/3 19:39,1600
A61120,1000176,99,2014/10/3 10:00,3300
B42671,1000176,99,2014/10/3 10:18,2000
B76608,1000176,99,2014/10/3 9:46,1800
A61120,1000176,99,2014/10/3 10:02,2460
E27156,1000176,99,2014/10/3 10:13,1500
A27798,1000176,99,2014/10/4 19:01,2380
E64693,1000176,99,2014/10/4 18:30,1650
B75505,1000176,99,2014/10/4 18:31,1330
A70192,1000176,99,2014/10/4 12:05,2380
D42076,1000176,99,2014/10/4 12:22,2880
D42547,1000176,99,2014/10/4 17:04,2000
C79741,1000176,99,2014/10/4 9:10,30
B31299,1000176,99,2014/10/4 11:37,1850
D61480,1000176,99,2014/10/4 11:43,680
B61768,1000176,99,2014/10/4 12:53,1360
D62701,1000176,99,2014/10/4 17:59,1200
E24092,1000176,99,2014/10/4 19:49,1880
D79755,1000176,99,2014/10/4 10:16,1600
A77148,1000176,99,2014/10/4 10:17,1500
A77148,1000176,99,2014/10/4 10:17,1200
B71995,1000176,99,2014/10/4 10:19,2380
E50972,1000176,99,2014/10/4 11:29,1200
B33968,1000176,99,2014/10/4 14:24,80
A57899,1000176,99,2014/10/4 14:25,680
D57617,1000176,99,2014/10/4 17:37,720
D66714,1000176,99,2014/10/4 10:39,2200
A78687,1000176,99,2014/10/4 10:22,5720
B73044,1000176,99,2014/10/4 10:23,4580
A58586,1000176,99,2014/10/4 10:25,260
E43434,1000176,99,2014/10/4 12:10,600
D52052,1000176,99,2014/10/4 14:46,1450
D70305,1000176,99,2014/10/4 19:58,3000
C57599,1000176,99,2014/10/4 20:09,1600
D46285,1000176,99,2014/10/4 12:08,1280
C42987,1000176,99,2014/10/4 17:49,1180
E49411,1000176,99,2014/10/4 17:49,1700
E76263,1000176,99,2014/10/4 20:31,750
C50992,1000176,99,2014/10/4 16:26,1360
B63480,1000176,99,2014/10/4 15:11,1200
A65298,1000176,99,2014/10/4 15:11,1200
C40788,1000176,99,2014/10/4 12:18,1360
D42119,1000176,99,2014/10/4 11:23,680
B79342,1000176,99,2014/10/4 12:43,1500
A22341,1000176,99,2014/10/4 12:25,4080
D46285,1000176,99,2014/10/4 18:01,2160
E67233,1000176,99,2014/10/4 10:31,2400
A58195,1000176,99,2014/10/4 13:42,30
B61603,1000176,99,2014/10/4 15:20,1520
C65041,1000176,99,2014/10/4 18:41,2480
A78687,1000176,99,2014/10/4 10:06,10000
D79755,1000176,99,2014/10/4 10:07,9100
E68577,1000176,99,2014/10/4 11:56,1200
CD8336,1000176,99,2014/10/4 12:09,600
B78732,1000176,99,2014/10/4 10:07,1430
E37922,1000176,99,2014/10/4 12:07,3200
D29434,1000176,99,2014/10/4 12:50,1700
D53139,1000176,99,2014/10/4 13:58,680
E31750,1000176,99,2014/10/4 14:06,1380
B73515,1000176,99,2014/10/4 9:32,2000
C68382,1000176,99,2014/10/5 13:47,1700
B41367,1000176,99,2014/10/5 13:49,680
C72524,1000176,99,2014/10/5 19:55,2160
C72524,1000176,99,2014/10/5 19:56,170
A79068,1000176,99,2014/10/5 19:58,2400
B56843,1000176,99,2014/10/5 19:58,1380
C66760,1000176,99,2014/10/5 20:03,580
E63390,1000176,99,2014/10/5 18:58,600
B75603,1000176,99,2014/10/5 11:53,1180
C68859,1000176,99,2014/10/5 16:58,4260
E24826,1000176,99,2014/10/5 19:02,2720
B37894,1000176,99,2014/10/5 19:04,600
C35475,1000176,99,2014/10/5 19:04,1000
A37981,1000176,99,2014/10/5 21:15,2840
B65510,1000176,99,2014/10/5 18:20,880
A71228,1000176,99,2014/10/5 19:05,880
E63440,1000176,99,2014/10/5 19:15,2300
A45793,1000176,99,2014/10/5 19:19,1280
A37981,1000176,99,2014/10/5 20:21,2580
A64313,1000176,99,2014/10/5 20:25,1950
A37752,1000176,99,2014/10/5 19:29,1430
D76256,1000176,99,2014/10/5 19:47,1200
A68245,1000176,99,2014/10/5 21:51,980
A75902,1000176,99,2014/10/5 21:51,980
A67217,1000176,99,2014/10/5 13:46,200
E54907,1000176,99,2014/10/5 16:04,680
B58405,1000176,99,2014/10/5 18:43,1340
A63092,1000176,99,2014/10/5 11:28,1360
C66963,1000176,99,2014/10/5 20:46,2000
A67784,1000176,99,2014/10/5 20:50,1500
A78687,1000176,99,2014/10/5 20:50,2000
D65333,1000176,99,2014/10/5 8:53,2080
C59274,1000176,99,2014/10/5 19:54,2000
A32121,1000176,99,2014/10/5 19:55,3400
E72277,1000176,99,2014/10/5 18:08,2200
E63655,1000176,99,2014/10/5 18:08,1380
B30937,1000176,99,2014/10/5 20:58,1200
B75603,1000176,99,2014/10/5 11:52,3700
E38273,1000176,99,2014/10/5 11:47,1360
A66922,1000176,99,2014/10/5 12:22,1500
E40016,1000176,99,2014/10/5 10:26,1560
A59558,1000176,99,2014/10/5 11:13,4800
D52052,1000176,99,2014/10/5 11:53,1280
B45018,1000176,99,2014/10/5 11:57,1630
E77921,1000176,99,2014/10/5 16:22,2000
C33972,1000176,99,2014/10/5 17:59,680
D29434,1000176,99,2014/10/5 17:21,750
E47017,1000176,99,2014/10/5 17:23,2000
C77442,1000176,99,2014/10/5 18:27,1360
D46913,1000176,99,2014/10/5 14:55,1380
D79204,1000176,99,2014/10/5 12:37,2080
C74211,1000176,99,2014/10/5 14:59,680
C19972,1000176,99,2014/10/5 15:05,680
D34699,1000176,99,2014/10/5 15:15,1360
B79232,1000176,99,2014/10/5 15:26,1200
C79262,1000176,99,2014/10/5 16:22,980
A79068,1000176,99,2014/10/5 16:47,4380
A45927,1000176,99,2014/10/5 12:39,1500
E67507,1000176,99,2014/10/5 11:22,3180
B69513,1000176,99,2014/10/5 13:53,100
E79351,1000176,99,2014/10/5 13:54,2780
C76641,1000176,99,2014/10/5 13:55,1200
A47105,1000176,99,2014/10/5 14:04,2000
C44153,1000176,99,2014/10/5 14:17,1700
D76302,1000176,99,2014/10/5 12:36,4200
C52139,1000176,99,2014/10/5 10:16,1500
D52258,1000176,99,2014/10/6 9:29,2200
A66406,1000176,99,2014/10/6 10:07,1200
E47017,1000176,99,2014/10/6 9:25,2300
C33789,1000176,99,2014/10/6 9:27,2200
C19972,1000176,99,2014/10/6 9:27,680
E57612,1000176,99,2014/10/6 10:57,2400
E79351,1000176,99,2014/10/6 10:00,2280
D46285,1000176,99,2014/10/6 9:12,1900
E57612,1000176,99,2014/10/6 10:58,680
E22413,1000176,99,2014/10/6 11:06,1360
E77764,1000176,99,2014/10/6 10:30,1380
D52052,1000176,99,2014/10/6 8:42,2050
C19972,1000176,99,2014/10/6 9:40,1200
C36476,1000176,99,2014/10/6 13:58,880
A35878,1000176,99,2014/10/6 12:53,680
A35878,1000176,99,2014/10/6 12:54,680
B68392,1000176,99,2014/10/6 12:12,1260
E75248,1000176,99,2014/10/6 13:24,1200
A37981,1000176,99,2014/10/6 13:23,980
D22147,1000176,99,2014/10/6 12:14,1880
D78002,1000176,99,2014/10/6 13:41,2000
E34393,1000176,99,2014/10/6 13:46,680
D29434,1000176,99,2014/10/6 13:46,750
B46403,1000176,99,2014/10/6 13:56,3100
D71126,1000176,99,2014/10/6 11:49,680
E18540,1000176,99,2014/10/6 11:25,800
C34695,1000176,99,2014/10/6 11:32,1500
E70402,1000176,99,2014/10/6 11:29,880
E18540,1000176,99,2014/10/6 11:29,1180
B48702,1000176,99,2014/10/6 11:35,750
E54970,1000176,99,2014/10/6 11:29,1180
C58368,1000176,99,2014/10/6 14:05,2300
C58368,1000176,99,2014/10/6 14:08,1180
D74175,1000176,99,2014/10/6 14:09,2700
B70021,1000176,99,2014/10/6 16:04,1360
D65266,1000176,99,2014/10/6 18:27,2130
B69505,1000176,99,2014/10/6 18:28,680
D53527,1000176,99,2014/10/6 22:02,2000
B73044,1000176,99,2014/10/6 12:15,1780
E63440,1000176,99,2014/10/6 18:29,2300
A79281,1000176,99,2014/10/6 22:01,2300
C66760,1000176,99,2014/10/6 17:37,1200
B78732,1000176,99,2014/10/6 18:19,1860
E79351,1000176,99,2014/10/6 14:19,1600
A69343,1000176,99,2014/10/6 14:25,680
D36447,1000176,99,2014/10/6 14:27,680
D74175,1000176,99,2014/10/6 14:31,1600
A62423,1000176,99,2014/10/6 14:41,2700
C33789,1000176,99,2014/10/6 14:41,680
E51884,1000176,99,2014/10/6 14:48,680
C70929,1000176,99,2014/10/6 18:34,680
E46540,1000176,99,2014/10/6 18:34,2400
D68091,1000176,99,2014/10/6 22:01,2000
B75505,1000176,99,2014/10/6 17:30,580
E77918,1000176,99,2014/10/6 18:43,680
D28298,1000176,99,2014/10/6 22:02,500
D46285,1000176,99,2014/10/6 22:03,880
E24385,1000176,99,2014/10/6 18:53,1200
B36049,1000176,99,2014/10/6 22:08,1280
D39820,1000176,99,2014/10/6 22:12,880
C70055,1000176,99,2014/10/6 14:53,1220
A72202,1000176,99,2014/10/6 15:03,7780
E45847,1000176,99,2014/10/6 15:03,1200
B73688,1000176,99,2014/10/6 15:06,1370
B51794,1000176,99,2014/10/6 16:24,200
B54445,1000176,99,2014/10/6 19:00,880
A66832,1000176,99,2014/10/6 19:02,1470
A72752,1000176,99,2014/10/6 19:02,2050
D60494,1000176,99,2014/10/6 19:05,1180
E54376,1000176,99,2014/10/6 19:18,2900
A67477,1000176,99,2014/10/6 19:18,1580
E40796,1000176,99,2014/10/6 19:22,4080
C18775,1000176,99,2014/10/6 19:27,200
E24092,1000176,99,2014/10/6 21:11,580
E61061,1000176,99,2014/10/6 21:17,750
B18346,1000176,99,2014/10/6 21:22,2960
D32700,1000176,99,2014/10/6 15:29,600
D68357,1000176,99,2014/10/6 17:16,1180
C74211,1000176,99,2014/10/6 17:55,180
D68660,1000176,99,2014/10/6 19:39,400
D71331,1000176,99,2014/10/6 22:00,1600
B40284,1000176,99,2014/10/6 12:16,1700
B78049,1000176,99,2014/10/6 17:40,2040
D33843,1000176,99,2014/10/6 17:47,4000
C39733,1000176,99,2014/10/6 19:40,2400
D77138,1000176,99,2014/10/6 19:42,2880
E50544,1000176,99,2014/10/6 19:43,2980
D15951,1000176,99,2014/10/6 19:44,2480
E74709,1000176,99,2014/10/6 19:58,1280
E74838,1000176,99,2014/10/6 12:42,680
E29559,1000176,99,2014/10/6 12:42,1180
A73877,1000176,99,2014/10/6 20:14,2080
D70088,1000176,99,2014/10/6 20:16,2800
A73854,1000176,99,2014/10/6 18:08,3200
B62781,1000176,99,2014/10/6 15:30,1200
A58178,1000176,99,2014/10/6 15:40,580
A77567,1000176,99,2014/10/6 15:42,1360
C71800,1000176,99,2014/10/6 16:28,680
D32084,1000176,99,2014/10/6 17:42,1200
E57658,1000176,99,2014/10/6 20:36,20
E77999,1000176,99,2014/10/6 20:36,4000
B78286,1000176,99,2014/10/6 21:03,1600
C57232,1000176,99,2014/10/6 21:07,300
C77055,1000176,99,2014/10/6 12:44,2300
D53367,1000176,99,2014/10/6 12:44,2000
D78118,1000176,99,2014/10/7 9:05,1180
C76641,1000176,99,2014/10/7 8:47,1000
E77010,1000176,99,2014/10/7 11:19,2580
C78460,1000176,99,2014/10/7 11:59,680
D54749,1000176,99,2014/10/7 12:04,600
E60051,1000176,99,2014/10/7 12:05,680
D75187,1000176,99,2014/10/7 12:00,2300
B62145,1000176,99,2014/10/7 12:07,1200
B62785,1000176,99,2014/10/7 11:14,680
E63533,1000176,99,2014/10/7 13:14,880
E26943,1000176,99,2014/10/7 12:53,450
E45928,1000176,99,2014/10/7 12:56,2680
C40713,1000176,99,2014/10/7 12:56,2000
C68309,1000176,99,2014/10/7 16:06,800
D36193,1000176,99,2014/10/7 16:45,1200
D72844,1000176,99,2014/10/7 16:45,1200
B73604,1000176,99,2014/10/7 9:49,2860
D77434,1000176,99,2014/10/7 11:26,500
A36870,1000176,99,2014/10/7 16:47,1200
A66406,1000176,99,2014/10/7 9:32,1200
A50288,1000176,99,2014/10/7 17:16,680
A66406,1000176,99,2014/10/7 7:56,2900
D46285,1000176,99,2014/10/7 8:46,1200
E75768,1000176,99,2014/10/7 11:00,2730
C76351,1000176,99,2014/10/7 9:04,1400
B21722,1000176,99,2014/10/7 11:07,750
C72761,1000176,99,2014/10/7 17:32,3900
A56378,1000176,99,2014/10/7 12:16,680
B64996,1000176,99,2014/10/7 13:16,580
C74231,1000176,99,2014/10/7 13:29,1600
B73776,1000176,99,2014/10/7 9:21,2000
D74175,1000176,99,2014/10/7 9:53,1700
A51469,1000176,99,2014/10/7 10:57,880
A21188,1000176,99,2014/10/7 16:34,200
D68409,1000176,99,2014/10/7 16:33,680
A37981,1000176,99,2014/10/7 12:30,1960
C34695,1000176,99,2014/10/7 14:02,2700
D66113,1000176,99,2014/10/7 14:42,1700
E50518,1000176,99,2014/10/7 14:43,2200
E50518,1000176,99,2014/10/7 14:43,1200
E24385,1000176,99,2014/10/7 14:52,1200
E61115,1000176,99,2014/10/7 14:53,1700
D47238,1000176,99,2014/10/7 14:56,2610
E35366,1000176,99,2014/10/7 15:36,160
D31531,1000176,99,2014/10/7 16:14,680
E79380,1000176,99,2014/10/7 7:26,2300
A59290,1000176,99,2014/10/7 10:53,3200
A51469,1000176,99,2014/10/7 10:54,2400
B73604,1000176,99,2014/10/7 9:38,6400
B72919,1000176,99,2014/10/7 16:43,1200
B56245,1000176,99,2014/10/7 16:43,500
D79414,1000176,99,2014/10/7 15:46,4640
D38601,1000176,99,2014/10/7 15:48,500
B78732,1000176,99,2014/10/7 16:16,2180
C76641,1000176,99,2014/10/7 11:41,1200
A48925,1000176,99,2014/10/7 17:26,1200
B63879,1000176,99,2014/10/7 17:31,1280
C36476,1000176,99,2014/10/7 8:19,1400
C54757,1000176,99,2014/10/7 10:43,750
C45455,1000176,99,2014/10/7 11:56,1200
D42680,1000176,99,2014/10/7 17:38,1200
E27156,1000176,99,2014/10/7 11:59,1600
E41607,1000176,99,2014/10/7 12:05,680
E64898,1000176,99,2014/10/7 12:06,1180
C72761,1000176,99,2014/10/7 8:01,1500
D32084,1000176,99,2014/10/7 17:22,1600
E44289,1000176,99,2014/10/7 17:26,680
D74175,1000176,99,2014/10/7 13:05,1700
B44238,1000176,99,2014/10/7 13:40,1600
B44238,1000176,99,2014/10/7 13:45,1600
D53289,1000176,99,2014/10/7 12:33,980
D36193,1000176,99,2014/10/7 16:45,200
D28232,1000176,99,2014/10/7 11:38,2000
D39924,1000176,99,2014/10/7 17:48,1380
E45928,1000176,99,2014/10/7 13:07,780
E53701,1000176,99,2014/10/7 12:32,2480
E26943,1000176,99,2014/10/7 12:51,1200
A59537,1000176,99,2014/10/7 13:51,1200
A21188,1000176,99,2014/10/7 16:33,80
C49564,1000176,99,2014/10/7 16:36,880
E77999,1000176,99,2014/10/7 14:27,3400
D38045,1000176,99,2014/10/7 14:30,1080
A35726,1000176,99,2014/10/7 15:12,3200
A79584,1000176,99,2014/10/7 15:18,1250
D25902,1000176,99,2014/10/7 15:29,1500
D25902,1000176,99,2014/10/7 15:29,3100
D42084,1000176,99,2014/10/7 16:20,880
E25128,1000176,99,2014/10/7 18:49,200
D32984,1000176,99,2014/10/7 18:49,1200
C44123,1000176,99,2014/10/7 18:05,650
A61710,1000176,99,2014/10/7 21:01,1880
A71117,1000176,99,2014/10/7 21:01,1200
D50327,1000176,99,2014/10/7 18:31,1700
B37384,1000176,99,2014/10/7 21:07,3300
A48799,1000176,99,2014/10/7 18:52,600
C35475,1000176,99,2014/10/7 19:51,180
B55626,1000176,99,2014/10/7 19:56,3760
E24826,1000176,99,2014/10/7 19:58,680
B63406,1000176,99,2014/10/7 20:04,2800
C74778,1000176,99,2014/10/7 20:04,1700
D61956,1000176,99,2014/10/7 20:04,1700
C74778,1000176,99,2014/10/7 20:07,1380
B68490,1000176,99,2014/10/7 18:57,2300
C55763,1000176,99,2014/10/7 18:59,600
B27304,1000176,99,2014/10/7 19:01,1360
A72199,1000176,99,2014/10/7 19:03,2350
B69192,1000176,99,2014/10/7 19:05,1360
D79069,1000176,99,2014/10/7 20:20,1600
E71447,1000176,99,2014/10/7 17:58,760
D74062,1000176,99,2014/10/7 17:52,1800
B37894,1000176,99,2014/10/7 19:49,1860
A47690,1000176,99,2014/10/7 20:26,2000
A38331,1000176,99,2014/10/7 20:28,1200
E57409,1000176,99,2014/10/7 20:29,1180
C74513,1000176,99,2014/10/7 20:32,1550
E64600,1000176,99,2014/10/7 20:34,2000
C34519,1000176,99,2014/10/7 19:11,2400
C34519,1000176,99,2014/10/7 19:17,2000
D78492,1000176,99,2014/10/7 20:39,1600
A63600,1000176,99,2014/10/7 20:40,1380
B69926,1000176,99,2014/10/7 20:41,2000
B33011,1000176,99,2014/10/7 20:43,1330
D31293,1000176,99,2014/10/7 20:46,1700
E60605,1000176,99,2014/10/7 17:50,1360
B53068,1000176,99,2014/10/7 17:46,600
E79434,1000176,99,2014/10/7 18:15,680
A59537,1000176,99,2014/10/7 18:39,2180
A34650,1000176,99,2014/10/7 20:52,1880
B77073,1000176,99,2014/10/7 20:55,650
D71126,1000176,99,2014/10/7 17:55,1180
E68348,1000176,99,2014/10/7 17:41,2880
E54517,1000176,99,2014/10/7 18:29,980
B66472,1000176,99,2014/10/7 18:04,3930
E52853,1000176,99,2014/10/7 19:22,650
E64693,1000176,99,2014/10/7 19:28,1200
C49259,1000176,99,2014/10/7 19:28,600
B26436,1000176,99,2014/10/7 19:28,2400
C66760,1000176,99,2014/10/7 19:32,200
B33011,1000176,99,2014/10/7 19:33,2700
A65552,1000176,99,2014/10/7 18:01,2000
C27151,1000176,99,2014/10/7 21:37,3200
C27151,1000176,99,2014/10/7 21:39,980
A72199,1000176,99,2014/10/7 21:45,1360
C65685,1000176,99,2014/10/7 18:04,1200
B55359,1000176,99,2014/10/7 18:24,600
E79300,1000176,99,2014/10/7 19:35,3200
E44289,1000176,99,2014/10/7 21:37,1600
C65118,1000176,99,2014/10/7 21:55,880
B77548,1000176,99,2014/10/7 18:05,1760
B59827,1000176,99,2014/10/7 18:47,1200
E55451,1000176,99,2014/10/7 22:15,1960
B33011,1000176,99,2014/10/8 12:01,1200
D76081,1000176,99,2014/10/8 12:04,880
A46179,1000176,99,2014/10/8 12:43,680
B77125,1000176,99,2014/10/8 12:09,1800
A55059,1000176,99,2014/10/8 12:11,1200
